step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,20296,712,0.06168630786550541,0.125,0.125,0.035581158287823204,0.625,0.625,,,,,,
90,20496,720,0.04372494638742258,0.5,0.5,,,,,,,,,
91,20696,728,0.04422945188358426,0.75,0.75,,,,,,,,,
92,20832,736,0.06342083098832517,0.625,0.625,,,,,,,,,
93,21224,744,0.02927082298323512,0.75,0.75,,,,,,,,,
94,21424,752,0.050627914331853395,0.5,0.5,,,,,,,,,
95,21624,760,0.04734980258469781,0.875,0.875,,,,,,,,,
96,21824,768,0.047121680670728285,0.625,0.625,,,,,,,,,
97,21960,776,0.06834653155878187,0.5,0.5,0.04458779289387166,0.625,0.625,,,,,,
98,22224,784,0.03462930194335058,0.75,0.75,,,,,,,,,
99,22424,792,0.05234941500239074,0.5,0.5,,,,,,,,,
100,22624,800,0.053458502469584356,0.5,0.5,,,,,,,,,
101,22888,808,0.0482494709501043,0.25,0.25,,,,,,,,,
102,23088,816,0.047740706832458575,0.625,0.625,,,,,,,,,
103,23224,824,0.06915815703570842,0.75,0.75,,,,,,,,,
104,23488,832,0.03870020306669176,0.5,0.5,,,,,,,,,
105,23752,840,0.03482502784579992,0.625,0.625,0.03483168637380005,0.75,0.75,,,,,,
106,23952,848,0.053549900685126585,0.375,0.375,,,,,,,,,
107,24088,856,0.07569655110361055,0.625,0.625,,,,,,,,,
108,24288,864,0.0533263820138139,0.75,0.75,,,,,,,,,
109,24552,872,0.038501224209321665,0.5,0.5,,,,,,,,,
110,24816,880,0.04762268053367734,0.25,0.25,,,,,,,,,
111,25016,888,0.049214466336804125,0.625,0.625,,,,,,,,,
112,25216,896,0.04526456343165288,0.625,0.625,,,,,,,,,
113,25352,904,0.07155874663498253,0.375,0.375,0.048111036687623704,0.625,0.625,,,,,,
114,25552,912,0.053330468830342086,0.375,0.375,,,,,,,,,
115,25752,920,0.042885793801397086,0.625,0.625,,,,,,,,,
116,25952,928,0.0530740905025353,0.625,0.625,,,,,,,,,
117,26152,936,0.04542855539048712,0.75,0.75,,,,,,,,,
118,26480,944,0.03967982470430434,0.375,0.375,,,,,,,,,
119,26744,952,0.04188374358229339,0.625,0.625,,,,,,,,,
120,26880,960,0.06525711776688695,0.625,0.625,,,,,,,,,
121,27080,968,0.046648306374748545,0.625,0.625,0.04611579559122523,0.875,0.875,,,,,,
122,27280,976,0.04691297826357186,0.625,0.625,,,,,,,,,
123,27416,984,0.06232858911156655,0.875,0.875,,,,,,,,,
124,27680,992,0.03769046869594604,0.625,0.625,,,,,,,,,
125,27816,1000,0.055904342778958394,0.75,0.75,,,,,,,,,
126,28016,1008,0.06371357573506733,0.25,0.25,,,,,,,,,
127,28152,1016,0.060514806215651334,0.75,0.75,,,,,,,,,
128,28352,1024,0.0399454215215519,0.75,0.75,,,,,,,,,
129,28488,1032,0.061195923597551875,0.75,0.75,0.05541613844533761,0.25,0.25,,,,,,
130,28752,1040,0.04178960139863192,0.5,0.5,,,,,,,,,
131,28952,1048,0.07751597091245155,0.5,0.5,,,,,,,,,
132,29152,1056,0.042151629539827505,0.625,0.625,,,,,,,,,
133,29352,1064,0.04792625903151929,0.625,0.625,,,,,,,,,
134,29552,1072,0.05004684010520578,0.75,0.75,,,,,,,,,
135,29816,1080,0.033601607249584046,0.75,0.75,,,,,,,,,
136,30080,1088,0.0397911819210276,0.5,0.5,,,,,,,,,
137,30344,1096,0.04052192223840393,0.5,0.5,0.05264546725898982,0.75,0.75,,,,,,
138,30608,1104,0.04008050252916292,0.625,0.625,,,,,,,,,
139,30808,1112,0.0419082065516462,0.625,0.625,,,,,,,,,
140,31264,1120,0.028929947634294097,0.625,0.625,,,,,,,,,
141,31464,1128,0.04747720723661283,0.625,0.625,,,,,,,,,
142,31664,1136,0.058512261249125,0.5,0.5,,,,,,,,,
143,31928,1144,0.04782887250185013,0.5,0.5,,,,,,,,,
144,32128,1152,0.04695018072457363,0.5,0.5,,,,,,,,,
145,32328,1160,0.052075403767327465,0.625,0.625,0.04576193881221115,0.75,0.75,,,,,,
146,32528,1168,0.045679665636271245,0.75,0.75,,,,,,,,,
147,32728,1176,0.038552422001957895,0.75,0.75,,,,,,,,,
148,32864,1184,0.07371700815390796,0.375,0.375,,,,,,,,,
149,33000,1192,0.07110625407658518,0.5,0.5,,,,,,,,,
150,33264,1200,0.03228758021956309,0.5,0.5,,,,,,,,,
151,33464,1208,0.04491954637768989,0.75,0.75,,,,,,,,,
152,33728,1216,0.04559894460253418,0.25,0.25,,,,,,,,,
153,33928,1224,0.05974139555667837,0.375,0.375,0.04200154775520787,0.375,0.375,,,,,,
154,34128,1232,0.051689239330977826,0.375,0.375,,,,,,,,,
155,34328,1240,0.05198168673242132,0.75,0.75,,,,,,,,,
156,34528,1248,0.044341957755386824,0.75,0.75,,,,,,,,,
157,34664,1256,0.06312902040779592,0.75,0.75,,,,,,,,,
158,34800,1264,0.07304166480898858,0.625,0.625,,,,,,,,,
159,34936,1272,0.06990710963960738,0.625,0.625,,,,,,,,,
160,35136,1280,0.040653449228654305,0.75,0.75,,,,,,,,,
161,35336,1288,0.05816456168269118,0.5,0.5,0.06138377759605646,0.75,0.75,,,,,,
162,35600,1296,0.03891021571587771,0.625,0.625,,,,,,,,,
163,35864,1304,0.03819041098002344,0.5,0.5,,,,,,,,,
164,36000,1312,0.06688698801444844,0.5,0.5,,,,,,,,,
165,36328,1320,0.027191248105838894,0.5,0.5,,,,,,,,,
166,36528,1328,0.0491038312483579,0.5,0.5,,,,,,,,,
167,36792,1336,0.03663323082029819,0.625,0.625,,,,,,,,,
168,37760,1344,0.013759685266762972,0.5,0.5,,,,,,,,,
169,38024,1352,0.03875820802873932,0.5,0.5,0.04073324961820618,0.375,0.375,,,,,,
170,38352,1360,0.02618948097154498,0.75,0.75,,,,,,,,,
171,38616,1368,0.0326829230110161,0.75,0.75,,,,,,,,,
172,38880,1376,0.0378172271233052,0.625,0.625,,,,,,,,,
173,39144,1384,0.048310290672816336,0.25,0.25,,,,,,,,,
174,39344,1392,0.04014971683422725,0.875,0.875,,,,,,,,,
175,39480,1400,0.07024431639350949,0.625,0.625,,,,,,,,,
176,39680,1408,0.04423563771881162,0.75,0.75,,,,,,,,,
177,39880,1416,0.05161019240195553,0.375,0.375,0.03684708875603974,0.75,0.75,,,,,,
178,40208,1424,0.027585388045758007,0.75,0.75,,,,,,,,,
179,40344,1432,0.06050136125646532,0.625,0.625,,,,,,,,,
180,40544,1440,0.05145655525770659,0.5,0.5,,,,,,,,,
181,40744,1448,0.03616282183056076,1.0,1.0,,,,,,,,,
182,40880,1456,0.05505328534170985,0.75,0.75,,,,,,,,,
183,41080,1464,0.041973420217012364,0.875,0.875,,,,,,,,,
184,41344,1472,0.03855685552814975,0.5,0.5,,,,,,,,,
185,41544,1480,0.0708085403746615,0.625,0.625,0.04376209443279852,0.75,0.75,,,,,,
186,41744,1488,0.047384474476178474,0.5,0.5,,,,,,,,,
187,41880,1496,0.06679717293940485,0.625,0.625,,,,,,,,,
188,42080,1504,0.038699867582569526,1.0,1.0,,,,,,,,,
189,42344,1512,0.04009078326867893,0.5,0.5,,,,,,,,,
190,42608,1520,0.03273078660015017,0.875,0.875,,,,,,,,,
191,42872,1528,0.029238976889755578,0.75,0.75,,,,,,,,,
192,43008,1536,0.06450305501464754,0.625,0.625,,,,,,,,,
193,43208,1544,0.054280287368843945,0.25,0.25,0.06964835955761373,0.375,0.375,,,,,,
194,44112,1552,0.015672225482495767,0.5,0.5,,,,,,,,,
195,44312,1560,0.048125202264636756,0.75,0.75,,,,,,,,,
196,44512,1568,0.048260517599216346,0.5,0.5,,,,,,,,,
197,44648,1576,0.07281481599900871,0.5,0.5,,,,,,,,,
198,44784,1584,0.05154421055689454,0.75,0.75,,,,,,,,,
199,44984,1592,0.04044278899285321,0.625,0.625,,,,,,,,,
200,45184,1600,0.04293538771569729,0.75,0.75,,,,,,,,,
201,45512,1608,0.04046001052111388,0.375,0.375,0.03240182170033222,1.0,1.0,,,,,,
202,45712,1616,0.05694387658654401,0.375,0.375,,,,,,,,,
203,45976,1624,0.036840310468105604,0.5,0.5,,,,,,,,,
204,46176,1632,0.05090856175714483,0.5,0.5,,,,,,,,,
205,46376,1640,0.05403908947482705,0.625,0.625,,,,,,,,,
206,46576,1648,0.04534400875369709,0.75,0.75,,,,,,,,,
207,46712,1656,0.06584152352064848,0.375,0.375,,,,,,,,,
208,46912,1664,0.04737126107948522,0.5,0.5,,,,,,,,,
209,47368,1672,0.023253062066755124,0.875,0.875,0.03142987903323956,0.75,0.75,,,,,,
210,47504,1680,0.0658812349382788,0.625,0.625,,,,,,,,,
211,47704,1688,0.040110731845100715,0.75,0.75,,,,,,,,,
212,47840,1696,0.06912238857708872,0.75,0.75,,,,,,,,,
213,48040,1704,0.04693967991198103,0.75,0.75,,,,,,,,,
214,48240,1712,0.04640269325114787,0.625,0.625,,,,,,,,,
215,48440,1720,0.04134969343120853,0.875,0.875,,,,,,,,,
216,48576,1728,0.06608428938314319,0.625,0.625,,,,,,,,,
217,48712,1736,0.06724173936061562,0.625,0.625,0.05041870508498201,0.875,0.875,,,,,,
218,48912,1744,0.037622893316050364,0.875,0.875,,,,,,,,,
219,49112,1752,0.043837291200955704,0.625,0.625,,,,,,,,,
220,49312,1760,0.03820907344886412,0.75,0.75,,,,,,,,,
221,49512,1768,0.04612734054215253,0.625,0.625,,,,,,,,,
222,49648,1776,0.051085036427248265,0.625,0.625,,,,,,,,,
223,49912,1784,0.036690786008257426,0.625,0.625,,,,,,,,,
224,50176,1792,0.03595190528925741,0.75,0.75,,,,,,,,,
225,50376,1800,0.04944673411858579,0.5,0.5,0.025869275688892232,1.0,1.0,,,,,,
226,50576,1808,0.044215345071473476,0.625,0.625,,,,,,,,,
227,50776,1816,0.04466473536876341,0.75,0.75,,,,,,,,,
228,51040,1824,0.040682599182473494,0.625,0.625,,,,,,,,,
229,51304,1832,0.037968124391045424,0.75,0.75,,,,,,,,,
230,51440,1840,0.05400634492514655,0.75,0.75,,,,,,,,,
231,51576,1848,0.07550506574567409,0.375,0.375,,,,,,,,,
232,51712,1856,0.0781572784529999,0.375,0.375,,,,,,,,,
233,51912,1864,0.04118520355317742,0.875,0.875,0.039580860408023,0.625,0.625,,,,,,
234,52240,1872,0.03593080585356802,0.625,0.625,,,,,,,,,
235,52440,1880,0.0667465026769787,0.375,0.375,,,,,,,,,
236,52640,1888,0.04692889034282416,0.625,0.625,,,,,,,,,
237,52840,1896,0.0532814137917012,0.25,0.25,,,,,,,,,
238,53040,1904,0.04981271586070458,0.75,0.75,,,,,,,,,
239,53304,1912,0.0407119298609905,0.375,0.375,,,,,,,,,
240,53504,1920,0.05055004689842463,0.5,0.5,,,,,,,,,
241,53640,1928,0.06318082777783274,0.875,0.875,0.03972022163914517,0.375,0.375,,,,,,
242,53840,1936,0.0470364238290737,0.75,0.75,,,,,,,,,
243,53976,1944,0.07106372174341233,0.5,0.5,,,,,,,,,
244,54240,1952,0.04339524555252865,0.5,0.5,,,,,,,,,
245,54504,1960,0.03877889938885346,0.625,0.625,,,,,,,,,
246,54640,1968,0.05486295113805682,0.875,0.875,,,,,,,,,
247,54840,1976,0.036886128320669134,0.75,0.75,,,,,,,,,
248,55104,1984,0.03691225880058483,0.625,0.625,,,,,,,,,
249,55240,1992,0.06884982642717659,0.625,0.625,0.03904192181653343,0.5,0.5,,,,,,
250,55504,2000,0.02778884712723084,0.875,0.875,,,,,,,,,
251,55704,2008,0.04001557574529822,0.75,0.75,,,,,,,,,
252,55904,2016,0.04231328893452883,0.625,0.625,,,,,,,,,
253,56040,2024,0.058100006589666006,0.75,0.75,,,,,,,,,
254,56240,2032,0.03795387848901252,0.875,0.875,,,,,,,,,
255,56440,2040,0.07271879499933374,0.5,0.5,,,,,,,,,
256,56832,2048,0.02896229969609218,0.5,0.5,,,,,,,,,
257,57032,2056,0.04238292010656247,0.625,0.625,0.06472626970149577,0.875,0.875,,,,,,
258,57232,2064,0.04307981830245505,0.75,0.75,,,,,,,,,
259,57432,2072,0.037672530412673946,0.875,0.875,,,,,,,,,
260,57696,2080,0.03874983032466844,0.5,0.5,,,,,,,,,
261,57832,2088,0.06465925826109015,0.75,0.75,,,,,,,,,
262,58032,2096,0.044414323562135295,0.625,0.625,,,,,,,,,
263,58232,2104,0.036018116190098225,0.75,0.75,,,,,,,,,
264,58432,2112,0.046132249953225256,0.625,0.625,,,,,,,,,
265,58632,2120,0.044615756291896104,0.625,0.625,0.028858655878575522,0.625,0.625,,,,,,
266,58896,2128,0.05031188503606245,0.5,0.5,,,,,,,,,
267,59096,2136,0.05381524542657037,0.375,0.375,,,,,,,,,
268,59296,2144,0.058353707406592244,0.625,0.625,,,,,,,,,
269,59560,2152,0.03931346172641497,0.375,0.375,,,,,,,,,
270,60144,2160,0.021257489911384056,0.25,0.25,,,,,,,,,
271,60408,2168,0.03765706073725596,0.625,0.625,,,,,,,,,
272,60608,2176,0.045144422231242064,0.5,0.5,,,,,,,,,
