step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
90,3380,180,0.05174209331472715,0.5,0.5,,,,,,,,,
91,3414,182,0.06350152339786291,1.0,1.0,,,,,,,,,
92,3448,184,0.07008395723998546,1.0,1.0,,,,,,,,,
93,3482,186,0.0431589524447918,1.0,1.0,,,,,,,,,
94,3516,188,0.051604567579925056,1.0,1.0,,,,,,,,,
95,3582,190,0.0765300487726927,0.0,0.0,,,,,,,,,
96,3648,192,0.05266630829311907,0.5,0.5,,,,,,,,,
97,3682,194,0.0773175577633083,0.5,0.5,0.09646841170887152,0.0,0.0,,,,,,
98,3732,196,0.032872402326514324,1.0,1.0,,,,,,,,,
99,3766,198,0.15096504367887975,0.0,0.0,,,,,,,,,
100,3816,200,0.027046530855198706,1.0,1.0,,,,,,,,,
101,3866,202,0.044691906571388246,1.0,1.0,,,,,,,,,
102,3916,204,0.044925792093078294,1.0,1.0,,,,,,,,,
103,3950,206,0.09441629793494938,0.0,0.0,,,,,,,,,
104,3984,208,0.0710424431413412,0.5,0.5,,,,,,,,,
105,4034,210,0.06468336626887321,0.0,0.0,0.06422171503305435,0.5,0.5,,,,,,
106,4068,212,0.06347257129848004,0.5,0.5,,,,,,,,,
107,4102,214,0.06945714391767978,0.5,0.5,,,,,,,,,
108,4136,216,0.06940246023237705,0.5,0.5,,,,,,,,,
109,4170,218,0.07147247198969126,0.5,0.5,,,,,,,,,
110,4204,220,0.09462371777743102,0.0,0.0,,,,,,,,,
111,4238,222,0.06022069904953241,0.5,0.5,,,,,,,,,
112,4272,224,0.06989470720291138,0.5,0.5,,,,,,,,,
113,4290,226,0.08521575428545475,1.0,1.0,0.08793021894060075,0.0,0.0,,,,,,
114,4340,228,0.058487829814354575,0.0,0.0,,,,,,,,,
115,4374,230,0.07851628545671702,0.0,0.0,,,,,,,,,
116,4408,232,0.06797917665913701,0.0,0.0,,,,,,,,,
117,4442,234,0.06383077597711236,1.0,1.0,,,,,,,,,
118,4492,236,0.03701454999565613,0.5,0.5,,,,,,,,,
119,4526,238,0.08296450173482298,0.5,0.5,,,,,,,,,
120,4576,240,0.062389091501633326,0.5,0.5,,,,,,,,,
121,4626,242,0.07535208435108265,0.0,0.0,0.07201202031224965,0.5,0.5,,,,,,
122,4676,244,0.04279309779405594,1.0,1.0,,,,,,,,,
123,4710,246,0.05822308782488107,1.0,1.0,,,,,,,,,
124,4744,248,0.08426481885835527,0.5,0.5,,,,,,,,,
125,4778,250,0.06261054527014494,0.5,0.5,,,,,,,,,
126,4796,252,0.07254131145775318,1.0,1.0,,,,,,,,,
127,4830,254,0.07112488478422166,0.5,0.5,,,,,,,,,
128,4864,256,0.06494052395981272,0.5,0.5,,,,,,,,,
129,4898,258,0.08019567338749767,0.5,0.5,0.08144408483058213,0.5,0.5,,,,,,
130,4932,260,0.08525465119630098,0.5,0.5,,,,,,,,,
131,4982,262,0.042131791661183034,1.0,1.0,,,,,,,,,
132,5032,264,0.03952020984143019,1.0,1.0,,,,,,,,,
