step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
90,3492,180,0.0669277440942824,0.0,0.0,,,,,,,,,
91,3510,182,0.1126729241013527,1.0,1.0,,,,,,,,,
92,3544,184,0.05527451913803816,0.5,0.5,,,,,,,,,
93,3594,186,0.04233275135358175,1.0,1.0,,,,,,,,,
94,3628,188,0.09094130512326956,0.5,0.5,,,,,,,,,
95,3662,190,0.02987243568524718,1.0,1.0,,,,,,,,,
96,3712,192,0.07147086010624966,0.5,0.5,,,,,,,,,
97,3746,194,0.10873252585530283,0.5,0.5,0.08743642710149288,0.5,0.5,,,,,,
98,3780,196,0.10157337224110961,0.5,0.5,,,,,,,,,
99,3830,198,0.07519021003196637,0.5,0.5,,,,,,,,,
100,3864,200,0.1480780954658985,0.0,0.0,,,,,,,,,
101,3898,202,0.051094486154615884,1.0,1.0,,,,,,,,,
102,3932,204,0.07235996987670659,0.5,0.5,,,,,,,,,
103,3982,206,0.07716031548877557,0.0,0.0,,,,,,,,,
104,4000,208,0.13428795047104358,0.5,0.5,,,,,,,,,
105,4034,210,0.06726646170020104,0.5,0.5,0.08461025886237622,0.5,0.5,,,,,,
106,4068,212,0.0708552347868681,1.0,1.0,,,,,,,,,
107,4102,214,0.06460068082436919,1.0,1.0,,,,,,,,,
108,4136,216,0.07276960890740156,1.0,1.0,,,,,,,,,
109,4186,218,0.04166794148972258,1.0,1.0,,,,,,,,,
110,4220,220,0.0811798219010234,0.5,0.5,,,,,,,,,
111,4270,222,0.04040337609127164,0.5,0.5,,,,,,,,,
112,4304,224,0.05917642708867789,1.0,1.0,,,,,,,,,
113,4338,226,0.056047200891189274,1.0,1.0,0.060976345203816895,0.5,0.5,,,,,,
114,4372,228,0.061774391680955894,0.5,0.5,,,,,,,,,
115,4406,230,0.04710409820079804,1.0,1.0,,,,,,,,,
116,4440,232,0.03981245242059231,1.0,1.0,,,,,,,,,
117,4490,234,0.03433043209215006,1.0,1.0,,,,,,,,,
118,4524,236,0.09968466179445387,0.5,0.5,,,,,,,,,
119,4558,238,0.09287278382107617,0.5,0.5,,,,,,,,,
120,4608,240,0.06790741263578336,0.5,0.5,,,,,,,,,
121,4642,242,0.1622650840692222,0.0,0.0,0.09685407772660257,0.5,0.5,,,,,,
122,4676,244,0.049206040315330025,1.0,1.0,,,,,,,,,
123,4710,246,0.06621450556442142,0.5,0.5,,,,,,,,,
124,4744,248,0.06156306486576796,0.5,0.5,,,,,,,,,
125,4762,250,0.1510105113312602,0.0,0.0,,,,,,,,,
126,4796,252,0.08590046495199202,0.0,0.0,,,,,,,,,
127,4830,254,0.08397711250931025,1.0,1.0,,,,,,,,,
128,4864,256,0.08354476284235715,0.5,0.5,,,,,,,,,
129,4882,258,0.06005180813372136,1.0,1.0,0.07329834206650654,0.5,0.5,,,,,,
130,4916,260,0.07559698227792978,0.5,0.5,,,,,,,,,
131,4950,262,0.1564294685423374,0.0,0.0,,,,,,,,,
132,4984,264,0.09334334594663232,0.5,0.5,,,,,,,,,
133,5018,266,0.03645118769258261,1.0,1.0,,,,,,,,,
134,5052,268,0.03985789250582457,1.0,1.0,,,,,,,,,
135,5086,270,0.07236281337682159,0.5,0.5,,,,,,,,,
136,5120,272,0.08286124005913734,0.5,0.5,,,,,,,,,
137,5154,274,0.06982897548004986,0.5,0.5,0.09148223433643579,0.5,0.5,,,,,,
138,5188,276,0.11200465388596058,0.0,0.0,,,,,,,,,
139,5238,278,0.07843622570236523,0.0,0.0,,,,,,,,,
140,5272,280,0.07322706657927484,0.5,0.5,,,,,,,,,
141,5306,282,0.07721430197358131,0.5,0.5,,,,,,,,,
142,5340,284,0.0773180453106761,0.5,0.5,,,,,,,,,
143,5374,286,0.060812885910272604,1.0,1.0,,,,,,,,,
144,5408,288,0.07547803122550248,0.5,0.5,,,,,,,,,
