step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,0.49828545391559603,0.0,0.0,0.26678425470987954,0.0,0.0,,,,,,
2,34,2,0.3737058936059475,0.0,0.0,,,,,,,,,
3,43,3,0.6727324175834656,0.0,0.0,,,,,,,,,
4,60,4,0.2353348445892334,1.0,1.0,,,,,,,,,
5,93,5,0.10692061824724078,0.0,0.0,,,,,,,,,
6,110,6,0.1319627495110035,0.0,0.0,,,,,,,,,
7,135,7,0.07637198398510614,0.0,0.0,,,,,,,,,
8,152,8,0.09904055759310723,0.0,0.0,,,,,,,,,
9,177,9,0.03651103923097252,1.0,1.0,0.03587268637260422,1.0,1.0,,,,,,
10,186,10,0.8242337167263032,0.0,0.0,,,,,,,,,
11,203,11,0.41762544818222525,0.0,0.0,,,,,,,,,
12,220,12,0.2722067759931087,0.0,0.0,,,,,,,,,
13,237,13,0.049291081875562665,1.0,1.0,,,,,,,,,
14,254,14,0.13229501739144325,0.0,0.0,,,,,,,,,
15,271,15,0.10818947568535804,0.0,0.0,,,,,,,,,
16,288,16,0.0906858230382204,0.0,0.0,,,,,,,,,
17,305,17,0.0699326596967876,1.0,1.0,0.07437648087739945,1.0,1.0,,,,,,
18,314,18,0.07290830604732038,1.0,1.0,,,,,,,,,
19,323,19,0.08390679441392422,1.0,1.0,,,,,,,,,
20,332,20,0.6355070692300796,0.0,0.0,,,,,,,,,
21,357,21,0.23020540088415145,0.0,0.0,,,,,,,,,
22,366,22,0.05131456361152232,1.0,1.0,,,,,,,,,
23,383,23,0.26122486874461176,0.0,0.0,,,,,,,,,
24,400,24,0.2092283223569393,0.0,0.0,,,,,,,,,
25,417,25,0.049410774633288385,1.0,1.0,0.05783164486289025,1.0,1.0,,,,,,
26,434,26,0.11160428181290627,0.0,0.0,,,,,,,,,
27,475,27,0.060625772535800926,1.0,1.0,,,,,,,,,
28,500,28,0.05190825042625269,1.0,1.0,,,,,,,,,
29,517,29,0.16952882066369057,0.0,0.0,,,,,,,,,
30,534,30,0.17518238253891466,0.0,0.0,,,,,,,,,
31,551,31,0.15783660978078842,0.0,0.0,,,,,,,,,
32,560,32,0.19472853809595106,0.0,0.0,,,,,,,,,
33,577,33,0.09726386278867723,0.0,0.0,0.12894149094820023,0.0,0.0,,,,,,
34,594,34,0.11755432292819024,0.0,0.0,,,,,,,,,
35,611,35,0.05392428018152714,1.0,1.0,,,,,,,,,
36,644,36,0.08896787762641907,0.0,0.0,,,,,,,,,
37,661,37,0.040960591137409214,1.0,1.0,,,,,,,,,
38,678,38,0.042242511846125125,1.0,1.0,,,,,,,,,
39,687,39,0.34645689040422445,0.0,0.0,,,,,,,,,
40,712,40,0.11159300923347473,0.0,0.0,,,,,,,,,
41,729,41,0.1566924352943897,0.0,0.0,0.052838542312383656,1.0,1.0,,,,,,
42,746,42,0.046900848895311355,1.0,1.0,,,,,,,,,
43,755,43,0.17816003084182738,0.0,0.0,,,,,,,,,
44,772,44,0.068763095587492,1.0,1.0,,,,,,,,,
45,789,45,0.059724107086658484,1.0,1.0,,,,,,,,,
46,806,46,0.1435244370996952,0.0,0.0,,,,,,,,,
47,831,47,0.11760163793961206,0.0,0.0,,,,,,,,,
48,848,48,0.06951969031244518,1.0,1.0,,,,,,,,,
49,873,49,0.04529873125255107,1.0,1.0,0.0993962288896243,0.0,0.0,,,,,,
50,890,50,0.12339427679777146,0.0,0.0,,,,,,,,,
51,899,51,0.18561916366219522,0.0,0.0,,,,,,,,,
52,908,52,0.13866330564022064,0.0,0.0,,,,,,,,,
53,941,53,0.06383578523993493,0.0,0.0,,,,,,,,,
54,958,54,0.0423810794763267,1.0,1.0,,,,,,,,,
55,975,55,0.15330590471625327,0.0,0.0,,,,,,,,,
56,984,56,0.30935254871845247,0.0,0.0,,,,,,,,,
57,1001,57,0.16992017090320585,0.0,0.0,0.03139932170510292,1.0,1.0,,,,,,
58,1026,58,0.04815589721004168,1.0,1.0,,,,,,,,,
59,1043,59,0.10191408276557923,0.0,0.0,,,,,,,,,
60,1060,60,0.06488089226186275,1.0,1.0,,,,,,,,,
61,1077,61,0.08995922148227692,1.0,1.0,,,,,,,,,
62,1094,62,0.08078822031617164,1.0,1.0,,,,,,,,,
63,1111,63,0.0835103951394558,1.0,1.0,,,,,,,,,
64,1128,64,0.07455978989601136,1.0,1.0,,,,,,,,,
65,1137,65,0.071239806227386,1.0,1.0,0.04101427439600229,1.0,1.0,,,,,,
66,1154,66,0.1400349072366953,0.0,0.0,,,,,,,,,
67,1171,67,0.04017807178199291,1.0,1.0,,,,,,,,,
68,1220,68,0.050660075781246025,1.0,1.0,,,,,,,,,
69,1229,69,0.06010404989123344,1.0,1.0,,,,,,,,,
70,1254,70,0.1171084858973821,0.0,0.0,,,,,,,,,
71,1271,71,0.12807265512645244,0.0,0.0,,,,,,,,,
72,1288,72,0.11920571684837342,0.0,0.0,,,,,,,,,
73,1305,73,0.08470821440219879,0.0,0.0,0.07161667004227638,0.0,0.0,,,,,,
74,1314,74,0.13582625716924668,0.0,0.0,,,,,,,,,
75,1347,75,0.08162783950567246,0.0,0.0,,,,,,,,,
76,1364,76,0.1184938880801201,0.0,0.0,,,,,,,,,
77,1381,77,0.11400616377592086,0.0,0.0,,,,,,,,,
78,1406,78,0.05803138191501299,0.0,0.0,,,,,,,,,
79,1423,79,0.061730311512947084,1.0,1.0,,,,,,,,,
80,1432,80,0.20981042116880416,0.0,0.0,,,,,,,,,
81,1441,81,0.19938133716583256,0.0,0.0,0.04980055905878544,1.0,1.0,,,,,,
82,1458,82,0.039142124578356745,1.0,1.0,,,,,,,,,
83,1483,83,0.10329798956712088,0.0,0.0,,,,,,,,,
84,1500,84,0.09329364478588104,0.0,0.0,,,,,,,,,
85,1517,85,0.039481952264904974,1.0,1.0,,,,,,,,,
86,1534,86,0.07937003523111344,1.0,1.0,,,,,,,,,
87,1559,87,0.08448364078998566,0.0,0.0,,,,,,,,,
88,1568,88,0.14460772007703782,0.0,0.0,,,,,,,,,
89,1577,89,0.10457628607749939,1.0,1.0,0.054333642423152924,1.0,1.0,,,,,,
90,1602,90,0.04475242565075557,1.0,1.0,,,,,,,,,
91,1619,91,0.1419129978120327,0.0,0.0,,,,,,,,,
92,1636,92,0.03855511389672756,1.0,1.0,,,,,,,,,
93,1653,93,0.14630168676376343,0.0,0.0,,,,,,,,,
94,1670,94,0.13333324536681174,0.0,0.0,,,,,,,,,
95,1687,95,0.04434348970651627,1.0,1.0,,,,,,,,,
96,1696,96,0.06556331992149353,1.0,1.0,,,,,,,,,
97,1721,97,0.08901187941431998,0.0,0.0,0.0792268992960453,1.0,1.0,,,,,,
98,1746,98,0.05110479563474655,1.0,1.0,,,,,,,,,
99,1763,99,0.09636327654123306,0.0,0.0,,,,,,,,,
100,1780,100,0.0671407113224268,1.0,1.0,,,,,,,,,
101,1797,101,0.08368152864277364,0.0,0.0,,,,,,,,,
102,1830,102,0.056221429035067556,0.0,0.0,,,,,,,,,
103,1847,103,0.08820859141647816,0.0,0.0,,,,,,,,,
104,1872,104,0.04953323756655057,1.0,1.0,,,,,,,,,
105,1905,105,0.06916451930999756,0.0,0.0,0.05530361860990524,1.0,1.0,,,,,,
106,1922,106,0.08360188260674477,0.0,0.0,,,,,,,,,
107,1955,107,0.05623021248728037,0.0,0.0,,,,,,,,,
108,1972,108,0.07686298541724682,0.0,0.0,,,,,,,,,
109,1989,109,0.07767772801220417,0.0,0.0,,,,,,,,,
110,2006,110,0.06840328708291055,0.0,0.0,,,,,,,,,
111,2023,111,0.07046943247318269,1.0,1.0,,,,,,,,,
112,2040,112,0.0712204173952341,0.0,0.0,,,,,,,,,
113,2049,113,0.10292344078421592,1.0,1.0,0.05564329393208027,1.0,1.0,,,,,,
114,2066,114,0.05356598928570748,1.0,1.0,,,,,,,,,
115,2107,115,0.055192724525928494,1.0,1.0,,,,,,,,,
