step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,18760,712,0.054188056283940876,0.5,0.5,0.044877941620070486,0.875,0.875,,,,,,
90,19024,720,0.03780126404948533,0.875,0.875,,,,,,,,,
91,19160,728,0.06231066469103098,0.625,0.625,,,,,,,,,
92,19360,736,0.05173726434198519,0.375,0.375,,,,,,,,,
93,20008,744,0.016123764948919418,0.625,0.625,,,,,,,,,
94,20208,752,0.04206981987381975,0.75,0.75,,,,,,,,,
95,20472,760,0.03782698169350624,0.875,0.875,,,,,,,,,
96,20736,768,0.037956929402425885,0.625,0.625,,,,,,,,,
97,20936,776,0.03920926239031056,0.75,0.75,0.027485767193138597,0.875,0.875,,,,,,
98,21072,784,0.05864393457304687,0.75,0.75,,,,,,,,,
99,21208,792,0.06727802864275872,0.625,0.625,,,,,,,,,
100,21472,800,0.04936649874085561,0.25,0.25,,,,,,,,,
101,21672,808,0.04213525978848338,0.875,0.875,,,,,,,,,
102,21872,816,0.05136674004917344,0.5,0.5,,,,,,,,,
103,22072,824,0.04866060646250844,0.5,0.5,,,,,,,,,
104,22208,832,0.07282610721886158,0.5,0.5,,,,,,,,,
105,22408,840,0.045434415902321536,0.75,0.75,0.05600516945434114,0.5,0.5,,,,,,
106,22608,848,0.05107571448509892,0.625,0.625,,,,,,,,,
107,22744,856,0.06343877609819175,0.75,0.75,,,,,,,,,
108,23008,864,0.034171471605077386,0.75,0.75,,,,,,,,,
109,23144,872,0.07172756288666278,0.5,0.5,,,,,,,,,
110,23408,880,0.036313378784107044,0.625,0.625,,,,,,,,,
111,23608,888,0.0457456967048347,0.75,0.75,,,,,,,,,
112,23872,896,0.040687085606623444,0.5,0.5,,,,,,,,,
113,24072,904,0.035815884882273774,0.875,0.875,0.048053303690006335,0.625,0.625,,,,,,
114,24272,912,0.043612181460484865,0.625,0.625,,,,,,,,,
115,24408,920,0.08770058394409716,0.25,0.25,,,,,,,,,
116,24608,928,0.03641455591501047,0.75,0.75,,,,,,,,,
117,24872,936,0.03050908640725538,0.5,0.5,,,,,,,,,
118,25008,944,0.05803946094354614,0.5,0.5,,,,,,,,,
119,25208,952,0.04965548501039544,0.75,0.75,,,,,,,,,
120,25408,960,0.051201247125864026,0.875,0.875,,,,,,,,,
121,25736,968,0.032497037921100855,0.625,0.625,0.047321660763894526,0.625,0.625,,,,,,
122,26000,976,0.036384037637617446,0.75,0.75,,,,,,,,,
123,26200,984,0.05880226753031215,0.375,0.375,,,,,,,,,
124,26400,992,0.056980125394960245,0.375,0.375,,,,,,,,,
125,26536,1000,0.06895703951362521,0.5,0.5,,,,,,,,,
126,26800,1008,0.039236924292054026,0.625,0.625,,,,,,,,,
127,27064,1016,0.03985528181772679,0.625,0.625,,,,,,,,,
128,27200,1024,0.07195762482937425,0.5,0.5,,,,,,,,,
129,27400,1032,0.0440120489646991,0.875,0.875,0.03768526062835008,0.625,0.625,,,,,,
130,27600,1040,0.05602130094543099,0.25,0.25,,,,,,,,,
131,27800,1048,0.04563120558547477,0.625,0.625,,,,,,,,,
132,28000,1056,0.04668404338881373,0.5,0.5,,,,,,,,,
133,28200,1064,0.05020140117344757,0.625,0.625,,,,,,,,,
134,28464,1072,0.03660900691524148,0.625,0.625,,,,,,,,,
135,28664,1080,0.05539114599116146,0.5,0.5,,,,,,,,,
136,28928,1088,0.02443439057096839,1.0,1.0,,,,,,,,,
137,29128,1096,0.04951839432741204,0.5,0.5,0.049556543137878176,0.5,0.5,,,,,,
138,29328,1104,0.04574555254851778,0.625,0.625,,,,,,,,,
139,29528,1112,0.06355948224042852,0.5,0.5,,,,,,,,,
140,29728,1120,0.046873913601351284,0.625,0.625,,,,,,,,,
141,29864,1128,0.04913062394829468,0.875,0.875,,,,,,,,,
142,30192,1136,0.031070715529844167,0.5,0.5,,,,,,,,,
143,30328,1144,0.06550427057314664,0.625,0.625,,,,,,,,,
144,30528,1152,0.04621143220302959,0.875,0.875,,,,,,,,,
