,roc_auc,accuracy,precision,recall,f1
fold_1,0.43970708812802173,0.45640074211502785,0.3470319634703196,0.336283185840708,0.3415730337078652
fold_2,0.47134636058938845,0.4840989399293286,0.4072398190045249,0.35856573705179284,0.3813559322033898
fold_3,0.47130200308166403,0.4911660777385159,0.38073394495412843,0.3516949152542373,0.3656387665198238
fold_4,0.4748198621553884,0.49469964664310956,0.36637931034482757,0.3794642857142857,0.37280701754385964
fold_5,0.4726881885532225,0.4876325088339223,0.38961038961038963,0.37656903765690375,0.3829787234042553
mean,0.46597270050153705,0.4827995830519808,0.378199085476838,0.36051543230358546,0.3688706946758387
std,0.013194924260394859,0.013664216402968282,0.020450448194426613,0.016034848871446454,0.015006797942069926
