,roc_auc,accuracy,precision,recall,f1
fold_1,0.860862800883255,0.7948073701842546,0.784329563812601,0.8132328308207705,0.7985197368421053
fold_2,0.8382162944030558,0.7666527021365731,0.7373660030627871,0.8181818181818182,0.7756745871929118
fold_3,0.8439204191952316,0.7733556765814831,0.7654028436018957,0.798845836768343,0.781766841468334
fold_4,0.8524661404144306,0.7817343946376204,0.7733870967741936,0.7998331943286072,0.7863878638786388
fold_5,0.8570738373424006,0.7788018433179723,0.7628361858190709,0.7979539641943734,0.78
mean,0.8505078984476746,0.7790703973715807,0.7646643386141097,0.8056095288587823,0.7844698058763979
std,0.008350433312242955,0.009398707407705797,0.015568521112541702,0.008413066423789688,0.007819470052316693
