,roc_auc,accuracy,precision,recall,f1
fold_1,0.8289321156945347,0.8256029684601113,0.7619047619047619,0.8495575221238938,0.803347280334728
fold_2,0.7935496110794916,0.7985865724381626,0.7866108786610879,0.749003984063745,0.7673469387755102
fold_3,0.8240369799691833,0.8215547703180212,0.7586206896551724,0.8389830508474576,0.7967806841046278
fold_4,0.8400819757727652,0.8374558303886925,0.764,0.8526785714285714,0.8059071729957806
fold_5,0.8281192020779754,0.833922261484099,0.8111587982832618,0.7907949790794979,0.8008474576271186
mean,0.8229439769187902,0.8234244806178171,0.7764590257008568,0.8162036215086331,0.7948459067675531
std,0.015630580059149305,0.013654636488272084,0.019961936202365093,0.040306816896731615,0.014075369833803994
