,roc_auc,accuracy,precision,recall,f1
fold_1,0.8675817806553763,0.8144712430426716,0.752,0.831858407079646,0.7899159663865546
fold_2,0.8645228609372034,0.8180212014134276,0.8217391304347826,0.7529880478087649,0.7858627858627859
fold_3,0.8792244478685158,0.8109540636042403,0.7654320987654321,0.788135593220339,0.7766179540709812
fold_4,0.8856451023391814,0.8180212014134276,0.7531380753138075,0.8035714285714286,0.7775377969762419
fold_5,0.8759868463142809,0.803886925795053,0.7782608695652173,0.7489539748953975,0.7633262260127932
mean,0.8745922076229116,0.8130709270537639,0.774114034815848,0.7851014903151151,0.7786521458618714
std,0.007695543870650503,0.005287689615032444,0.025650510316960702,0.031223291708544022,0.009155659571395828
