,roc_auc,accuracy,precision,recall,f1
fold_1,0.8031825795644891,0.8031825795644891,0.7863924050632911,0.8324958123953099,0.8087876322213181
fold_2,0.7926546690352977,0.7922077922077922,0.7700237906423474,0.8249787595581988,0.7965545529122231
fold_3,0.7874414878003907,0.7880184331797235,0.7742435996896819,0.8227535037098104,0.7977617905675459
fold_4,0.8033276186945911,0.8035190615835777,0.7816358024691358,0.8448707256046706,0.8120240480961923
fold_5,0.793416464071482,0.7930456640134059,0.7753446877534469,0.815004262574595,0.7946799667497921
mean,0.79600456383325,0.7959947061097977,0.7775280571235805,0.8280206127685169,0.8019615981094145
std,0.006267333867265557,0.0062440362929596606,0.005784790645875975,0.01010321132562316,0.007039095365796936
