,roc_auc,accuracy,precision,recall,f1
fold_1,0.6164296417766972,0.634508348794063,0.5728643216080402,0.504424778761062,0.5364705882352941
fold_2,0.6080123948649845,0.627208480565371,0.6111111111111112,0.43824701195219123,0.5104408352668214
fold_3,0.6297123780174628,0.6554770318021201,0.6120218579234973,0.4745762711864407,0.5346062052505967
fold_4,0.6323491019214703,0.6590106007067138,0.5794871794871795,0.5044642857142857,0.5393794749403341
fold_5,0.6064322546799228,0.627208480565371,0.5707070707070707,0.47280334728033474,0.517162471395881
mean,0.6185871542521075,0.6406825884867278,0.5892383081673798,0.47890313897886283,0.5276119150177855
std,0.010746011234597709,0.013827624447341112,0.01846135615981883,0.024550259583432255,0.011575046482736086
