,roc_auc,accuracy,precision,recall,f1
fold_1,0.6821608040201006,0.6821608040201005,0.6210350584307178,0.9346733668341709,0.7462387161484454
fold_2,0.6784467444195568,0.6749057394218685,0.6114508060033352,0.9345794392523364,0.739247311827957
fold_3,0.7001538556607789,0.7042312526183494,0.6410684474123539,0.9497114591920858,0.7654485049833887
fold_4,0.6904326135977512,0.6916631755341432,0.6262956901254774,0.957464553794829,0.7572559366754618
fold_5,0.6976823391773441,0.6933389191453707,0.6232532140860816,0.9505541346973572,0.7528696826468603
mean,0.6897752713751062,0.6892599781479665,0.6246206432115932,0.9453965907541558,0.7522120304564226
std,0.008449668252478655,0.010029901488133814,0.00960736111444171,0.009196220734249479,0.008998246131221788
