,roc_auc,accuracy,precision,recall,f1
fold_1,0.6532663316582915,0.6532663316582915,0.664568345323741,0.61892797319933,0.6409366869037294
fold_2,0.6428825210473469,0.6430666108085463,0.6404494382022472,0.6295666949872557,0.6349614395886889
fold_3,0.6521889496384287,0.6518642647674906,0.6657986111111112,0.6323165704863973,0.6486257928118393
fold_4,0.6527816390201711,0.6527021365731043,0.6603119584055459,0.6355296080066722,0.6476838079048024
fold_5,0.6405908757027631,0.6405529953917051,0.6320201173512154,0.6427962489343564,0.6373626373626373
mean,0.6483420634134003,0.6482904678398276,0.6526296940787721,0.6318274191228024,0.6419140729143394
std,0.0054524177520886355,0.0053693803814027705,0.013770128834885409,0.007820067490409827,0.005446962180860978
